nombre,direccion,codigo postal,pais,telefono,actividades
MANUFACTURAS FIOPHEL EIRL,Av.Francisco Pizarro Nro 542 Int. 9 Frente Policlinico Essalud,15001 Rimac,Peru,+51 1 5794702,Cintas textiles y lazos/Cintas y lazos/
MINEBES S.A.C,Jr.Manuel Segura Nor.353 Alt De La Cdra. 14 De Petit Thoars,15001 Lima,Peru,+51 1 2427671,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
COLUCCI CLUB SOCIEDAD ANONIMA CERRADA - COLUCCI CLUB S.A.C,Av. Prolog.Gamarra Nor.654,15001 Lima,Peru,+51 1 3622812,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para trajes
JOMIN TEX S.A.C,Jr.Antonio Bazo Nor.1074 Galeria Copacabana,15001 Lima,Peru,+51 1 3254628,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CONFECCIONES NELLY E I R L,Av. Doce De Octubre Nor.Mz. I,15001 Lima,Peru,+51 1 5311901,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para trajes
KENSISA S.A,Jr.Succha Nor.555 Alt. Cdra.15 Av. Venezuela.,15001 Lima,Peru,+51 1 4859819,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
ANSESA S.A,Jr.Ticapampa Nor.129 Mcdo.Manoa-Alt.Cdra.11 Jr.Pariacoto,15001 Lima,Peru,+51 1 4330704,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
KOPLAST INDUSTRIAL S.A.C.,Cl. Jose Celedon 765,15001 Lima,Peru,+51 1 3367838,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
EWG SERVICE S.A.C,Jr.Luisa Beasejor Nor.2480 Espalda 24 De Venezuela Crece Con T.Casc,15001 Lima,Peru,+51 1 3365401,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
IMPORTACIONES Y EXPORTACIONES KURMI S.A.C,Av. Jorge Chavez Nor.992 Pasando Fap,15001 Lima,Peru,+51 1 2488420,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
SERVICIOS GENERALES KLIN E.I.R.L,Cl. Fco Moreyra Y Riglos Nor.589 Alt Universidad San Marcos,15001 Lima,Peru,+51 1 2721208,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
ILLARIQ SOCIEDAD ANONIMA CERRADA - ILLARIQ S.A.C,Cl. Las Magnolias Nor.500,15001 Lima,Peru,+51 1 3585677,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
SOUTHAMTEX S.A.C.,"Av.Javier Prado Este 4435, Piso 2, Urb. Neptuno",15001 Lima,Peru,+51 1 4367000,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
IMPORT & EXPORT C.W. S.A.C,Av. Manco Capac Nor.115 Edif Jupiter - Alt Cdra. 4 Av Grau,15001 Lima,Peru,+51 1 4243572,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DISTRIBUIDORA-TEXTILES-BUITRON-E.I.R.LTD,Av. Abancay Nor.388 Esquinade Abancay Y Ucayali,15001 Lima,Peru,+51 1 280084,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
GRUPO EMPRESARIAL LATINO S.A.C,Av. Prolongacion Los Angeles Nor.394A Cruce Con La Av. Universitaria,15001 Lima,Peru,+51 1 5800000,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
R & C MERCHANDISING CORP. E.I.R.L.,Av.Las Americas Nro 1262 Urb. La Polvora Cruce Parinacochas Y Las Americas,15001 Lima,Peru,+51 1 4727672,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIAS ALBO S.A,Pj.San Lorenzo Nor.1282 Altura Cdra.42 De Republica De Panama,15001 Lima,Peru,+51 1 4451440,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
GRAFICA RAMAR SRL,Cl. Los Ebanistas Nro 255,15001 Lima,Peru,+51 1 4374663,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
CORPORACION NAYGEN S.A.C,Jr.Diana Nor. Alt. Cdra.12 Av.Proceres,15001 Lima,Peru,+51 1 3043467,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TIANTEX PERU SOCIEDAD ANONIMA CERRADA,Av.Huandoy Mza. J Lote. 29,15001 Los Olivos,Peru,+51 1 5213710,Tejidos revestidos y encerados: (Productor) Servicios de encogimiento de tejidos
OBEL PLAST R & G S.A.C.,Mza. L Lote. 37,15001 Lima,Peru,+51 1 5755098,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
SUMINISTROS Y SOLUCIONES GRAFICAS E.I.R.L,Av. Nicolas Rivera Nor. Altura Cedros,15001 Lima,Peru,+51 1 782732,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIAS WINDSOR S.A.C.,"Av.Los Sauces 164, Urb. Los Sauces",15001 Lima,Peru,+51 1 3260512,Telas NES para uso industrial: (Productor) Tejidos industriales para lavandería y tintorería
COMERCIAL ESMERALDA S.R.LTDA.,Jr.Ucayali Nro 609,15001 Lima,Peru,+51 1 4284730,Cintas textiles y lazos/Cintas y lazos/
CORPORACION R & D S.A.C,Av. Colectora Industrial Nor.138 Frente A Textil San Jacinto,15001 Lima,Peru,+51 1 3620623,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para trajes
INDUSTRIA GRAFICA LATINA S.A.C,Jr.Rufino Torrico Nor.555 Entre Emancipacion Y Torrico,15001 Lima,Peru,+51 1 4265202,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
EDICIONES GRAFICAS ARIES S.A.C.,Av.Bolivia Nro 148 Int. 2056 2Do Piso Fte Al Centro Civico,15001 Lima,Peru,+51 1 3350866,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
GOVI 4 E.I.R.L,Jr.Francisco Lazo Nor.1924,15001 Lima,Peru,+51 1 2656273,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
D'ANDREA FASHION S.A.C,Av. Nicolas De Pierola Nor.1655 Segundo Piso,15001 Lima,Peru,+51 1 4268622,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
CORFADTEX S.A.C,Cl. Juan Gutemberg Nor.143 Nros 143-155 - Espalda Sacos Peruanos,15001 Lima,Peru,+51 1 3260885,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
GRAFISUR SOCIEDAD ANONIMA CERRADA GRAFISUR S.A.C,Av. Guardia Civil Nor.672 Alt Escuela Oficiales Pnp,15001 Lima,Peru,+51 1 2515028,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
INDUSTRIA QUIVER E.I.R.L,Jr.El Hierro Nor.198,15001 Lima,Peru,+51 1 3328166,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
AFQ PUBLICISTAS E IMPRESORES S.A.C.,Av.Ignacio Merino Nro 1550,15001 Lima,Peru,+51 1 4723721,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
JOCNIPLAST EIRL,Av.Mariscal Caceres Nro 580 Urb. Valdiviezo Esp Fabrica Sayon Fte Clinica San Juan D,15001 Lima,Peru,+51 1 3263112,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
TULASI CORP E.I.R.L,Jr.Chicama Nro 212 Virgen De Lourdes Alt Paradero 11.5 Nueva Esperanza,15001 Lima,Peru,+51 1 2912498,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
DISTRIBUIDORA COVA & STAR S.R.L,Jr.Ayacucho Nor.1032 Alt. Cdra. 9 Av Abancay,15001 Lima,Peru,+51 1 4266284,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
COMERCIAL DISTRIBUIDORA ARIANA S.A.C,Cl. Los Ebanistas Nor.108,15001 Lima,Peru,+51 1 7190263,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
FBJJ SPORT LINE S.A.C,Av. Republica De Panama Nor.3680,15001 Lima,Peru,+51 1 4582617,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
AIKO INVERSIONES SAC,Mza. L Lote. 19 Asoc.Vivienda Los Clavele Km.38 Antigua Panamericana Sur,15001 Lima,Peru,+51 1 4300666,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
GRAFICA ESBELIA QUIJANO S.R.L,Jr.Recuay Nor.243 Alt.Sedapal Av.Venezuela Y Metro A.Ugart,15001 Lima,Peru,+51 1 3306588,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
KONECTIA SOCIEDAD ANONIMA CERRADA,Av.Francisco Mariategui Nro 1448 Urb. Fundo Oyague Alt Cdra. 16 Av Brasil Lima,15001 Lima,Peru,+51 1 2617714,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPRESIONES Y EDICIONES ARTETA E.I.R.L,Cl. Cajamarca Nor.239 Alt. Cdra.6 De Grau,15001 Lima,Peru,+51 1 2655146,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
AGENCIA FUNERARIA TORRES E.I.R.L,Jr.Cangallo Nor.829 Altos,15001 Lima,Peru,+51 1 3282110,"Tules y velos: (Productor) Géneros para velos de fibras naturales(Productor) Géneros para velos de fibras químicasTules y velos, según uso: (Productor) Velos ya confeccionados"
MORBACH PERU S.A.C,Av. Francisco Pizarro Nor.1168,15001 Lima,Peru,+51 1 4826780,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
PAR INVERSIONES S.A.C,Av. Del Ejercito Nor.612,15001 Lima,Peru,+51 1 6946130,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
COMERCIALIZADORA IMPORTADORA & DISTRIBUIDORA JOHOSMA E.I.R.L,Av. Tacna Nor.535 Galeria Las Nazarenas 4To Piso,15001 Lima,Peru,+51 1 4274634,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
RAMAJE DISTRIBUCIONES EIRL - RAMAJE E.I.R.L,Cl. Varsovia Nor.173 Alt. Cdra. 9 Av. Villaran,15001 Lima,Peru,+51 1 3451061,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TOP SECURITY & WORK S.A EN LIQUIDACION,Cl. J.J. Paso Nor.773 A 1 Cdra.De La Plaza De La Bandera,15001 Lima,Peru,+51 1 3816353,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ROTOPACK SOCIEDAD ANONIMA CERRADA - ROTOPACK S.A.C,Av. Aragon Nor. Espalda De Cdra. 6 De Carretera Central,15001 Lima,Peru,+51 1 3481171,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
TEXIMP UNIVERSAL E.I.R.L,Cl. 18 Nor. 3Ra Etapa Por Colegio Solidaridad 1,15001 Lima,Peru,+51 1 3891756,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CIELO GRAF IMPRESIONES S.A.C,Jr.Callao Nor.475 A Media Cdra.Cruce Av Tacta Y Callao,15001 Lima,Peru,+51 1 4273346,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
CORPORACION GRAFICA JIMAR SOCIEDAD ANONIMA CERRADA - JIMAR S.A.C,Jr.Jorge Chavez Nor.321,15001 Lima,Peru,+51 1 3312190,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIAS TEXTILES R & H S.R.L,Av. Carapongo Nor. Alt Linea De Tren-Esp Zoologico Huachipa,15001 Lima,Peru,+51 1 3561994,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TRAVEL MODA FASHION C. A. S.A.C,Jr.Gamarra Nor.443 Galer Progreso -Alt Av 28 De Julio,15001 Lima,Peru,+51 1 6248805,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INVERSIONES ACON S.A.C,Jr.Antonio Baso Nor.1140,15001 Lima,Peru,+51 1 3245423,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CONFECCIONES SANTA FELICIA E.I.R.L,Jr.Los Rubies Nor.1760,15001 Lima,Peru,+51 1 3483410,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
CONFECCIONES ROXITA'S S.C.R.L,Jr.Italia Nor.1611 Galeria Los Kristales,15001 Lima,Peru,+51 1 3242594,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
ASTRAL CONSORCIO LOGISTICO S.A.C,Av. Morales Duarez 1705A Nor. Altura Puente Duenas,15001 Lima,Peru,+51 1 4255329,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
ISIS GLAMOUR INTERNACIONAL SOCIEDAD ANONIMA CERRADA - ISIS GLAMOUR INTERNACIONAL S.A.C,Cl. Libertad Nor.354 Alt Cdra. 2 Av Berlin,15001 Lima,Peru,+51 1 2437841,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
VCP GRAFIC SAC,Cl. Gral. Vidal Nro 835,15001 Lima,Peru,+51 1 3307019,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
TAGUA LATINA S.A.C,Jr.Lorenzo Valderrama Nor.192 Alt. Nuevo Mercado Unicachi,15001 Lima,Peru,+51 1 5360400,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
DISCOMSC E.I.R.L,Jr.Antonio Bazo Nor.536 Altura Parque Canepa,15001 Lima,Peru,+51 1 3302486,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
LYDA PRODUCCIONES S.A.C,Cl. Narciso De La Colina Nor.110 Alt.Cdra.16 Av.Velasco Astete,15001 Lima,Peru,+51 1 2656386,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
TEXTIL TAFUR Y CIA. S.C.R.L,Jr.America Nor.427 Parque Canepa,15001 Lima,Peru,+51 1 4749312,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
INDUSTRIAS DEL EMPAQUE PERU S.A.C,Pj.Isabel Flores De Oliva Nor.272 Alt. Cdra.2 Av. Nicolas Duenas,15001 Lima,Peru,+51 1 3360130,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
EXPORTADOR Y IMPORTADOR BETA E.I.R.L,Cl. Jose Coronado Nor.604 3Er Piso,15001 Lima,Peru,+51 1 3249382,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
BUSINESS 24-7 E.I.R.L,Cl. Las Gaviotas Nor.274,15001 Lima,Peru,+51 1 3852441,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
ALPACA CAMARGO SOCIEDAD ANONIMA CERRADA - ALPACA CAMARGO SAC,Av.Sta. Rosa Nro 396 Cp Sta. Clara A 3 Cdras. Plaza Principal Sta. Clara,15121 Ate,Peru,+51 1 3549197,Tejidos revestidos y encerados: (Productor) Servicios de encogimiento de tejidos
FABRICA DE TEJIDOS BOLIVAR S.A,Av. Mariscal Caceres Nor.318,15001 Lima,Peru,+51 1 234505,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
ARM-INTERNACIONAL DE NEGOCIOS S.A.C,Jr.Almte.Marcos De Aramburu Nor.703 Frente Del Hospital Militar,15001 Lima,Peru,+51 1 4632246,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
EFASA REPRES GRLS S.A.C,Av. De Los Heroes Nor.595 Alt. Del Casino Flamingo-Ex.Cine Susy,15001 Lima,Peru,+51 1 4664511,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
RCE INVESTMENT S.A.C.,"Cl. Los Peros Mza. B Lote. 02 Urb. La Hacienda Av Alm. Del Corregidor 290, Porteria",15001 Lima,Peru,+51 1 3488195,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
AUSONIA S.A,Cl. Francisco Lazo Nor.1700 2 Cdras. De Municipalidad De Lince,15001 Lima,Peru,+51 1 4706375,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
EURODRIP PERU S.A.C.,Cl. Leonardo Da Vinci Nro 249 Altura Cdra.2 Av.Las Artes,15001 Lima,Peru,+51 1 4620361,"Tejidos de fibras químicas/Tejidos, fibras sintéticas o artificiales/"
ORIGRAF S.A,Jr.Caylloma Nor.544,15001 Lima,Peru,+51 1 5641255,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPRESOS COMERCIALES S.A. ICOMERSA,Jr.Antonio Alarco Nor.477,15001 Lima,Peru,+51 1 741592,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
D'ALLPAQ S.A.C,Av. San Martin Nor.246,15001 Lima,Peru,+51 1 2473292,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para trajes
PUBLICUEROS E.I.R.L,"Mz G, lote 17, El Paraíso Villa Maria del Triunfo",15001 Lima,Peru,+51 1 234 5035,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
TEXTIL DIMITRI S.A.C,Jr.Zepita Nor.423 Cercado De Lima,15001 Lima,Peru,+51 1 2510066,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
INDUSTRIAS DEL CUERO PULLMAN S.A.C,Av. Larco Nor.795,15001 Lima,Peru,+51 1 457278,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
CORPORACION AZUL ONCE S.A.C,Jr.Azangaro Nor.671 Cruce Azangaro Y Puno,15001 Lima,Peru,+51 1 7892919,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
MODA & COLOR S.A.C.,"Jr.Jose Toribio Polo 338, Urb. Santa Cruz",15001 Lima,Peru,+51 1 4401108,Telas NES para uso industrial: (Productor) Tejidos industriales para lavandería y tintorería
CORPORATION D'BERETTA EXPORT S.A.C,Huallaga Nor.650 2Do Piso - Galeria Ramon Castilla,15001 Lima,Peru,+51 1 4280708,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
GENERACION BLANER S.A.C,Av. San Luis Nor.977,15001 Lima,Peru,+51 1 3233861,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DECORBELL INTERIORES EIRL,Cl. Montegrande Nro 177 Urb. Chacarilla Del Estanque Cdra. 5 Av Primavera,15001 Lima,Peru,+51 1 372 4226,Alfombras y moquetas/Fundas de cama y edredones/Cojines y almohadas/
GRAFICA DAVISA E.I.R.L,Jr.Callao Nor.475 Cruce De Tacna Y Jr Callao,15001 Lima,Peru,+51 1 6951218,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INVERSIONISTAS CAYGER SOCIEDAD ANONIMA CERRADA - CAYGER,Av. Nicolas De Pierola Nor.1607,15001 Lima,Peru,+51 1 4285764,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ARVAL BUSINESS S.A.C,Cl. 4 Nor. Alt De Av Canta Callao Y Av Cordialidad,15001 Lima,Peru,+51 1 5402184,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
IMPORT PIKER S.A.C,Cl. Luis Giribaldi Nor.669 Alt A 2 Cdras. Parque Canepa Tda B,15001 Lima,Peru,+51 1 3257427,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
C & M SE,Mza. E Lote. 9 A.H. El Arenal Alto,15001 Lima,Peru,+51 1 5620842,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
EMS TRADING S.A.C,Cl. Leon Barandiaran Nor.186,15001 Lima,Peru,+51 1 4450522,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
F & M TRADING S.A.C,Cl. Sibelius Nor.118,15001 Lima,Peru,+51 1 2257658,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
DECORACIONES EVARISTO Y CRISTINA SOCIEDAD ANONIMA CERRADA,Cl. Los Olivos Nro Mz. E Int. Lt 6 Asoc Prop Bello Horizonte Alt Cd 910 Av Alm. Surfrent Cedros,15001 Lima,Peru,+51 1 2547737,Hilos y torcidos de fibras químicas/Hilos y torcidos de seda/Hilos y torcidos de lana y pelo/Hilos y torcidos de algodón/Hilos y torcidos de fibras de lino/Tejidos de fibras químicas/Tejidos de lino/
RAPIDEXPORT S.R.L.,"Jr.Hipolito Unanue 1590, Of. 616",15001 Lima,Peru,+51 1 4367930,Telas NES para uso industrial: (Productor) Tejidos industriales para lavandería y tintorería
FALCO PERU S.A.C,Jr.San Francisco Nor.782 Alt. Cdr. 8 De Chinchaysuyo,15001 Lima,Peru,+51 1 6513036,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
MEGA IMPRESOS Y AFINES S.A.C,Av. Maquinarias Nor.2164,15001 Lima,Peru,+51 1 4411030,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
INDUSTRIAS ANDER S.A,Cl. Las Mimosas Nor. Alt Cdra. 14 De Circunvalacion,15001 Lima,Peru,+51 1 4583766,Estampado de tejidos e hilos: (Productor) Servicios de estampado al cuadro de tejidos
CONTIPAPER S.A.C,Jr.General Varela Nor.433 Espalda Metro De Venezuela,15001 Lima,Peru,+51 1 3330333,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
THE ROGUENOIR E.I.R.L,Av. San Luis Nor.2793 Sin Referencia,15001 Lima,Peru,+51 1 6282860,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
ETIQUETAS EXCLUSIVAS S.A.C,Cl. Batallon Tarma Norte Nor.180 Entre La 15-16 De Caminos Del Inca,15001 Lima,Peru,+51 1 3260144,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
CREATIMASTER S.R.L,Av. Inca Garcilazo De La Vega Nor.1236,15001 Lima,Peru,+51 1 7939868,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
JORGE PENA S.A.,Jr.Chiclayo 487,15001 Lima,Peru,+51 1 4820290,Telas NES para uso industrial: (Distribuidor) (Productor) Tejidos industriales para lavandería y tintoreríaRopa de trabajo y accesorios: (Distribuidor) (Productor) Batas ropa de trabajo(Distribuidor) (Productor) Delantales de plástico para personal de la industria de la alimentación(Distribuidor) (Productor) Sombrerería militar(Distribuidor) (Productor) Tocados para enfermera(Distribuidor) (Productor) Gorros de cocinero desechables de papel(Distribuidor) (Productor) Vestuario bordado para miembros del clero
ALTAMIRA GRAFICA S.R.L,Av.Perú N° 1887 San Martin de Porres,15001 Lima,Peru,+51 1 571 0805,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
CONSORCIO TARCON S.A,Pj.San Luis Nor.134,15001 Lima,Peru,+51 1 3365363,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
TEXTILES SAN BENITO S.A.C,Av. 28 De Julio Nor.2654,15001 Lima,Peru,+51 1 3253972,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
EDITORIAL PACIFICO SUR S.R.L.,Av.De Los Heroes Nro 597 Int. A Ciudad De Dios,15001 Lima,Peru,+51 1 2760178,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
MODAS MOSALI E.I.R.L,Jr.Evaristo San Cristobal Nor.1453 Alt Cdra. 18 De Huanuco,15001 Lima,Peru,+51 1 6893542,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón para vestidos
IMPORTACIONES SERVICIOS Y ANEXOS S.A.C.,Av.Republica De Panama Nro 6140,15001 Lima,Peru,+51 1 2422964,Cintas textiles y lazos/Cintas y lazos/
INDUSTRIAS FENITEX E.I.R.L,Cl. Luis Galvani Nor.265 Cerca Al Mcdo Grumete Medina,15001 Lima,Peru,+51 1 3261157,Estampado de tejidos e hilos: (Productor) Servicios de estampado de tejidos de fibras químicasTejidos revestidos y encerados: (Productor) Servicios de gofrado y calandrado de tejidos
J.N.K. SPORT E.I.R.L,"Bl. Blk. 10 Nor. Ent. Via Exsa, Garcia Nrjo Y Jose Galvez",15001 Lima,Peru,+51 1 3301666,Materiales de corte: (Productor) Cordoncillos textiles para prendas de vestirPiezas y accesorios para el calzado: (Productor) Lazos para calzado
H.D.M. TEXTIL S.A.C,Jr.Yutay Nor.105,15001 Lima,Peru,+51 1 4825180,"Tejidos de lino/Tejidos de lino, según uso/Tejidos de cáñamo y yute: (Productor) Tejidos de cáñamo(Productor) Tejidos de yuteTejidos de fibras vegetales no especificados en otra parte: (Productor) Tejidos de ramio"
INVERSIONES S & G PERU SOCIEDAD ANONIMA CERRADA - INVERSIONES S & G PERU S.A.C,Jr.Callao Nor.446 Cc Nstra. Sra Del Carmen,15001 Lima,Peru,+51 1 4270100,Tejidos de algodón para confección y lencería de casa: (Productor) Tejidos de algodón estampados para confección y lencería de casa
