nombre,direccion,codigo postal,pais,telefono,actividades,actividades-tokenized,Productor,Distribuidor,Servicios,tejidos algodón estampados,tejidos algodón vestidos,estampado tejidos,estampado tejidos fibras,gofrado calandrado,gofrado calandrado tejidos,tejidos cáñamoproductor tejidos,cordoncillos textiles prendas,hilos coser crochés,tejidos algodón trajes,tejidos industriales lavandería,estampado cuadro,estampado cuadro tejidos,cuerdas fibras naturalesproductor,encogimiento tejidos,fibras acrílicastejidos fibras,tejidos acrílicos usos,géneros velos fibras,cuerdas almas cables,cables metálicos transmisionesdistribuidor,cadenas acero inoxidable,tejidos cauchotados industrialesprendas,trajes objetos caucho,barras poliuretanosecciones plástico,géneros punto algodónproductor,hilados proceso algodón,etiquetas textiles prendas,encajes punto hechos,telas algodón enceradasfibras,fibras poliésterartículos plástico,fibras carbonoproductos grafito,tejidos,tejidos lana,tejidos lana alpaca,pasamanería fibras naturalesdistribuidor,hilos fibras acrílicasproductor,uniformes ropa trabajo,tejidos fibras químicas,fundas colchón plásticoproductor,lencería algodón hogarproductor,fundas textiles colchones,tejidos industriales,batas ropa,batas ropa trabajodistribuidor,delantales plástico personal,sombrerería militardistribuidor productor,tocados enfermeradistribuidor productor,gorros cocinero desechables,vestuario bordado miembros,ropa algodóndistribuidor,ropa algodóndistribuidor productor,ropa lanadistribuidor,ropa lanadistribuidor productor,ropa cashmeretejidos,ropa cashmeretejidos lana,juguetes,juguetes peluche,juguetes peluche promociones,hilos fibras químicas,calcetines mujeresproductor calcetines,tejidos lana alpacaprendas,sombreros tradicionalesartículos viaje,bolsos cuero artesanos,corte medida toda,costura industria confeccióntelas,telas tejidas estampadas,lavanderías prendas vestirservicio,limpieza sombrerosservicio servicios,limpieza prendas cueroservicio,lavado traposservicio servicios,renovación limpieza telas,lavado cambio toallasservicio,limpieza zurcido almacenamiento,reparación modificación prendas,bolsas sacos lavanderíalonas,fundas tela proteger,bolsas plástico lavandería,lana vicuñamaquinaria equipos
importadora gomelast s.a.c.,"av.22 de julio 230, zona industrial",15001 Lima,Peru,+51 1 3521155,telas nes para uso industrial productor tejidos industriales para lavandería y tintorería,"['telas', 'nes', 'uso', 'industrial', 'productor', 'tejidos', 'industriales', 'lavandería', 'tintorería']",1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
techy grafica industrial sociedad anonima cerrada - techy grafica industrial s.a.c.,pj. pe,15001 Lima,Peru,+51 991232535,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm-internacional de negocios s.a.c,jr.almte.marcos de aramburu nor.703 frente del hospital militar,15001 Lima,Peru,+51 1 4632246,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
j & laye s.r.l,jr.andahuaylas nor.1400 galeria movicentro - ir al sotano,15001 Lima,Peru,+51 1 4267172,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
acorp e.i.r.l,cl. piura nro 309 int. 2ªp xxx altura cdra. 49 y 50 av arequipa,15001 Lima,Peru,+51 1 6649927,tejidos revestidos y encerados productor servicios de encogimiento de tejidos,"['tejidos', 'revestidos', 'encerados', 'productor', 'servicios', 'encogimiento', 'tejidos']",1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
importaciones merca s.a.c,jr.montevideo nor.900 bldg. -alt.de grifo pecsa,15001 Lima,Peru,+51 1 4280704,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texfina s.a.,av.elmer faucett 4636,7001 Lima,Peru,+51 1 5172222,tejidos recubiertos e impermeables productor telas de algodón enceradasfibras hechas a mano productor fibras de poliéster,"['tejidos', 'recubiertos', 'impermeables', 'productor', 'telas', 'algodón', 'enceradasfibras', 'hechas', 'mano', 'productor', 'fibras', 'poliéster']",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
maquitex service e.i.r.l,cl. palma de mallorca nor.125 alt cdra. 12 av.san luis frente videna,15001 Lima,Peru,+51 1 3464197,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para trajes,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'trajes']",1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cristo vive corporacion industrial s.a.c,ica nor.608 alt cd 3 tacna-paralela a nazarenas,15001 Lima,Peru,+51 1 4315785,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
richy plast e.i.r.l.,cl. las copaybas km. 33.5 mza. b3 lote. 16 z.i. asoc. de prop. la alm. panamericana norte,15001 Lima,Peru,+51 1 5410052,tejidos de fibras químicastejidos fibras sintéticas o artificiales,"['tejidos', 'fibras', 'químicastejidos', 'fibras', 'sintéticas', 'artificiales']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textil aber crom e.i.r.l,jr.gamarra nor.820 2do piso galeria azul,15001 Lima,Peru,+51 1 3664020,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vanity corporation e.i.r.l,jr.antonio bazo nor.765 centro comercial rey de gamarra,15001 Lima,Peru,+51 1 3233197,materiales de corte productor cordoncillos textiles para prendas de vestirpiezas y accesorios para el calzado productor lazos para calzado,"['materiales', 'corte', 'productor', 'cordoncillos', 'textiles', 'prendas', 'vestirpiezas', 'accesorios', 'calzado', 'productor', 'lazos', 'calzado']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
comercial industrial delta s.a.,av.pedro miotta 910,15001 Lima,Peru,+51 1 6178787,tejidos de fibras químicastejidos fibras sintéticas o artificiales,"['tejidos', 'fibras', 'químicastejidos', 'fibras', 'sintéticas', 'artificiales']",0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
infoprint s.r.l,av. amazonas nor. a 1cdra. mercado girasol,15001 Lima,Peru,+51 1 5707104,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copy rey s.a,jr.francia nor.649,15001 Lima,Peru,+51 1 728478,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sur textil e.i.r.l,jr.huanuco nor.2446,15001 Lima,Peru,+51 1 3243912,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
espejos graf s.a.c,jr.bernardo alcedo nor.570 espalda municipalidad de lince,15001 Lima,Peru,+51 1 4728583,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emporium textil e.i.r.l,jr.unanue nor.1536 na°1536-a frente parque canepa,15001 Lima,Peru,+51 1 4745111,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grs talentus publicitario e.i.r.l,av. mariategui nor.1578 alt de la cdra. 15 av brasil,15001 Lima,Peru,+51 1 2612058,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gaciel s.a.c,jr.montevideo nor.883 entre andahuaylas y montevideo,15001 Lima,Peru,+51 1 4262466,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
juan f diaz carreras s.a.c,av. del ejercito o p.aranibar nor.248,15001 Lima,Peru,+51 1 616782,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isis glamour internacional sociedad anonima cerrada - isis glamour internacional s.a.c,cl. libertad nor.354 alt cdra. 2 av berlin,15001 Lima,Peru,+51 1 2437841,materiales de corte productor cordoncillos textiles para prendas de vestirpiezas y accesorios para el calzado productor lazos para calzado,"['materiales', 'corte', 'productor', 'cordoncillos', 'textiles', 'prendas', 'vestirpiezas', 'accesorios', 'calzado', 'productor', 'lazos', 'calzado']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
thomas greg & sons de peru s.a.,cl. c km. 35.5 mza. a lote. 15 z.i. las praderas de lurin km. 35.5 de la panamericana sur,15001 Lima,Peru,+51 1 6222830,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colpa s.r.l,santa ana nor. antiguo pard de linea 22 de c central,15001 Lima,Peru,+51 1 3260788,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sesup publicidad e impresion s.a.c,av. bolivia nor.148 centro comercial centro lima,15001 Lima,Peru,+51 1 4239699,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
distribuidor textil warnaco peru s.a.c,av. canaval y moreyra nor.452 piso 17,15001 Lima,Peru,+51 1 2645300,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rainbow color s.a.c.,mza. u lote. 40,15001 Lima,Peru,+51 1 4597888,tejidos de algodón para confección y lencería de casa productor tejidos de algodón estampados para confección y lencería de casa,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'estampados', 'confección', 'lencería', 'casa']",1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manufacturas dinastia s.a,av. luis jose orbegoso nor.150,15001 Lima,Peru,+51 1 735583,tejidos de linotejidos de lino según usotejidos de cáñamo y yute productor tejidos de cáñamoproductor tejidos de yutetejidos de fibras vegetales no especificados en otra parte productor tejidos de ramio,"['tejidos', 'linotejidos', 'lino', 'usotejidos', 'cáñamo', 'yute', 'productor', 'tejidos', 'cáñamoproductor', 'tejidos', 'yutetejidos', 'fibras', 'vegetales', 'especificados', 'parte', 'productor', 'tejidos', 'ramio']",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cool import s.a.c,av. angamos oeste 686 miraflores,15001 Lima,Peru,+51 1 242-9100,tejidos de linotejidos de lino según usotejidos de cáñamo y yute productor tejidos de cáñamoproductor tejidos de yutetejidos de fibras vegetales no especificados en otra parte productor tejidos de ramio,"['tejidos', 'linotejidos', 'lino', 'usotejidos', 'cáñamo', 'yute', 'productor', 'tejidos', 'cáñamoproductor', 'tejidos', 'yutetejidos', 'fibras', 'vegetales', 'especificados', 'parte', 'productor', 'tejidos', 'ramio']",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corporacion maykevin s.a.c,jr.antonio bazo nor.1007,15001 Lima,Peru,+51 1 3246756,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
textiles lotte s.a.c,jr.lucanas 2do piso nor.1267,15001 Lima,Peru,+51 1 4730088,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colpa s.r.l,santa ana nor. antiguo pard de linea 22 de c central,15001 Lima,Peru,+51 1 3260788,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
business 24-7 e.i.r.l,cl. las gaviotas nor.274,15001 Lima,Peru,+51 1 3852441,materiales de corte productor cordoncillos textiles para prendas de vestirpiezas y accesorios para el calzado productor lazos para calzado,"['materiales', 'corte', 'productor', 'cordoncillos', 'textiles', 'prendas', 'vestirpiezas', 'accesorios', 'calzado', 'productor', 'lazos', 'calzado']",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
distribuidor textil warnaco peru s.a.c,av. canaval y moreyra nor.452 piso 17,15001 Lima,Peru,+51 1 2645300,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
inka's world business s.a.c,"jr.gamarra nor.443 piso 1 , a 1/2 cdra.jr.bolivar",15001 Lima,Peru,+51 1 4745672,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
manufacturas dinastia s.a,av. luis jose orbegoso nor.150,15001 Lima,Peru,+51 1 735583,tejidos de linotejidos de lino según usotejidos de cáñamo y yute productor tejidos de cáñamoproductor tejidos de yutetejidos de fibras vegetales no especificados en otra parte productor tejidos de ramio,"['tejidos', 'linotejidos', 'lino', 'usotejidos', 'cáñamo', 'yute', 'productor', 'tejidos', 'cáñamoproductor', 'tejidos', 'yutetejidos', 'fibras', 'vegetales', 'especificados', 'parte', 'productor', 'tejidos', 'ramio']",1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kyujintex s.a.c,prolongacion huanuco nor.2069 cruce de jr italia y prolong huanuco,15001 Lima,Peru,+51 1 3238858,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
corporacion maykevin s.a.c,jr.antonio bazo nor.1007,15001 Lima,Peru,+51 1 3246756,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
company jeysha e.i.r.l,av. mexico nor.1665 antes de llegar a la av. aviacion,15001 Lima,Peru,+51 1 3250967,tejidos de algodón para confección y lencería de casa productor tejidos de algodón para vestidos,"['tejidos', 'algodón', 'confección', 'lencería', 'casa', 'productor', 'tejidos', 'algodón', 'vestidos']",1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
publicidad hardford s.a.c,"jr.ancash nor.739 alt.escuela de bellas artes,alt.congreso",15001 Lima,Peru,+51 1 4262716,estampado de tejidos e hilos productor servicios de estampado al cuadro de tejidos,"['estampado', 'tejidos', 'hilos', 'productor', 'servicios', 'estampado', 'cuadro', 'tejidos']",1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
